cliente_id,edad,meses_cliente,uso_servicio,pago_mensual,churn
145,70,28,46,21,0
146,63,12,59,28,0
147,19,17,63,30,0
148,30,20,82,45,0
149,61,35,75,59,0
150,21,31,89,53,0
151,63,18,49,23,0
152,32,24,60,15,0
153,66,8,54,17,1
154,33,29,93,42,0
155,41,20,44,22,0
156,53,20,67,25,0
157,24,28,29,53,1
158,47,23,88,55,0
159,44,3,51,53,0
160,59,11,47,26,0
161,70,7,67,43,1
162,53,27,60,43,1
163,39,2,88,23,0
164,39,8,63,40,0
165,40,22,61,39,0
166,61,26,28,33,0
167,35,19,21,49,1
168,26,31,52,46,0
169,35,34,100,39,0
170,19,5,94,48,0
171,23,35,70,50,0
172,22,23,71,41,0
173,58,23,51,27,0
174,56,4,34,49,1
175,54,23,20,48,0
176,42,27,47,60,0
177,56,21,45,21,0
178,26,4,35,34,1
179,65,19,40,57,1
180,44,34,22,38,0
181,67,27,69,58,0
182,26,5,95,15,0
183,44,35,75,16,0
184,54,35,56,51,0
185,44,7,54,31,0
186,41,29,44,38,0
187,26,15,31,34,0
188,38,22,68,33,0
189,30,17,65,58,0
190,33,29,20,19,0
191,54,36,53,50,0
192,51,29,42,55,0
193,50,34,33,45,0
194,37,35,76,33,0
195,68,4,62,22,0
196,22,10,71,46,0
197,36,26,77,36,0
198,24,22,99,21,0
199,35,2,85,31,0
200,68,4,70,59,1
201,37,19,91,27,0
202,66,23,58,23,0
203,44,7,99,46,0
204,55,7,81,24,0
205,42,5,72,57,1
206,32,21,93,54,0
207,58,1,61,60,0
208,69,21,78,56,0
209,31,18,43,26,0
210,59,17,98,24,0
211,31,25,70,30,0
212,55,19,83,36,0
213,59,27,57,55,0
214,41,28,90,48,0
215,57,34,26,44,1
216,32,29,29,55,0
217,22,19,61,44,0
218,23,18,79,32,0
219,41,9,85,33,0
220,65,22,55,38,0
221,24,6,72,19,0
222,42,34,64,49,1
223,55,31,97,45,0
224,28,5,72,48,0
225,56,29,53,39,1
226,34,5,98,51,0
227,60,26,28,58,1
228,48,4,99,41,0
229,46,18,32,35,0
230,27,24,43,19,0
231,42,27,86,50,0
232,63,16,79,56,0
233,19,34,98,47,0
234,58,28,80,54,0
235,44,8,71,54,1
236,56,25,48,51,1
237,53,27,20,38,0
238,40,13,30,19,0
239,34,27,44,15,0
240,51,33,23,24,0
241,25,30,61,34,0
242,48,28,82,49,0
243,23,23,98,35,0
244,52,10,59,16,0
245,51,29,90,24,0
246,22,14,99,60,0
247,58,20,89,60,0
248,40,12,57,32,0
249,59,12,46,52,0
250,20,6,99,48,0
251,27,35,39,57,0
252,44,6,53,55,0
253,27,4,25,43,1
254,35,34,84,33,0
255,53,20,72,43,0
256,25,16,26,29,1
257,53,27,37,31,1
258,23,14,64,43,1
259,27,5,63,41,1
260,49,27,84,41,0
261,60,7,41,32,1
262,27,20,94,33,0
263,33,35,56,15,0
264,67,34,86,42,0
265,70,13,39,41,0
266,48,29,22,58,0
267,41,23,24,38,0
268,36,18,50,36,0
269,50,6,97,18,0
270,49,14,23,24,0
271,33,24,49,30,0
272,19,36,28,32,0
273,26,1,95,31,0
274,68,26,74,33,0
275,40,31,81,50,0
276,43,35,77,21,0
277,42,16,73,30,0
278,59,5,82,22,0
279,21,10,20,29,0
280,22,31,90,46,0
281,32,32,79,17,0
282,43,23,79,30,0
283,53,5,51,16,0
284,44,5,84,58,0
285,41,18,50,48,1
286,67,22,23,26,0
287,26,2,93,24,0
288,48,25,38,19,0
289,46,20,28,36,0
290,43,1,70,49,1
291,60,4,38,41,1
292,32,17,89,55,0
293,68,27,55,30,0
294,35,30,20,27,0
295,46,16,97,36,0
296,45,11,61,24,0
297,63,35,41,59,0
298,41,17,74,23,0
299,33,12,62,37,0
300,19,16,22,39,1
301,37,1,81,17,0
302,61,11,52,36,0
303,18,19,76,35,0
304,65,34,92,26,0
305,46,27,69,20,0
306,25,29,74,17,0
307,34,20,40,15,0
308,47,4,39,37,0
309,34,15,53,19,0
310,23,36,89,59,0
311,53,2,62,26,0
312,53,32,48,45,0
313,24,25,83,45,0
314,32,11,89,37,0
315,30,29,93,55,0
316,52,31,44,20,0
317,56,2,77,25,0
318,56,4,67,26,0
319,67,24,56,21,0
320,58,36,52,28,0
321,34,1,29,29,1
322,23,24,42,50,0
323,50,5,64,28,0
324,66,24,91,55,0
325,69,23,90,50,0
326,30,4,35,56,1
327,30,25,75,19,0
328,19,33,26,60,1
329,25,32,74,43,0
330,47,2,47,60,1
331,46,9,56,31,0
332,37,9,78,58,0
333,34,17,54,42,0
334,61,6,85,18,0
335,42,31,63,33,0
336,60,28,100,21,0
337,69,30,71,58,0
338,34,8,44,29,1
339,28,1,82,25,0
340,68,33,53,40,0
341,51,11,63,34,0
342,33,24,31,19,0
343,50,33,29,52,0
344,45,2,66,53,1
345,65,1,35,49,1
346,31,1,100,43,0
347,70,6,89,33,0
348,67,2,76,39,0
349,27,30,79,38,0
350,26,22,68,22,0
351,46,36,24,18,0
352,20,29,51,26,0
353,33,35,60,35,0
354,41,9,94,22,0
355,69,11,37,19,0
356,70,31,60,54,0
357,26,9,47,32,0
358,65,3,30,41,1
359,22,25,28,39,0
360,57,29,49,48,0
361,62,35,26,49,0
362,65,34,25,28,0
363,29,5,48,54,1
364,65,28,36,32,0
365,24,31,64,53,0
366,45,26,21,33,0
367,42,30,44,20,0
368,34,31,56,49,0
369,19,17,98,16,0
370,58,2,71,50,1
371,35,17,91,16,0
372,53,8,47,24,0
373,39,5,56,42,0
374,37,5,54,58,1
375,64,26,91,33,0
376,23,19,97,20,0
377,57,20,97,25,0
378,57,27,80,56,0
379,38,20,60,48,1
380,31,23,63,19,0
381,18,4,99,32,0
382,67,31,43,27,0
383,68,17,48,23,0
384,30,6,92,53,1
385,19,30,51,43,0
386,24,27,39,23,0
387,21,2,65,44,1
388,62,7,46,34,1
389,65,1,92,17,0
390,26,10,93,35,0
391,57,4,44,23,0
392,27,26,62,26,0
393,37,19,99,55,0
394,49,36,80,47,0
395,56,27,37,21,1
396,64,23,67,54,0
397,20,19,70,41,0
398,28,2,72,55,1
399,32,3,22,49,1
400,34,23,44,30,0
401,70,1,89,39,1
402,59,2,39,39,1
403,34,8,44,48,0
404,69,32,46,26,0
405,44,17,34,30,1
406,44,26,32,26,0
407,40,15,48,28,0
408,25,7,90,22,0
409,67,14,20,16,1
410,18,4,42,58,1
411,27,28,24,18,0
412,30,7,65,55,1
413,32,14,40,15,0
414,24,36,84,50,0
415,18,22,67,30,0
416,53,17,83,38,0
417,69,20,71,27,0
418,24,29,55,37,0
419,33,10,89,35,0
420,44,23,58,39,0
421,67,32,96,33,0
422,54,21,100,39,0
423,58,17,67,52,0
424,48,6,74,34,0
425,40,9,40,31,0
426,28,35,85,21,0
427,63,20,74,31,0
428,60,11,93,20,0
429,19,16,41,23,1
430,55,21,83,58,0
431,22,20,58,19,0
432,57,26,34,37,0
433,61,10,33,53,1
434,24,24,65,58,1
435,40,16,45,21,0
436,24,34,28,22,0
437,48,6,54,32,1
438,67,6,72,40,0
439,22,17,45,59,0
440,39,19,97,24,0
441,69,25,83,22,0
442,33,15,61,26,1
443,25,33,95,55,0
444,43,18,55,16,0
445,44,5,31,32,1
446,53,5,22,20,0
447,34,36,95,22,0
448,68,5,97,57,0
449,45,35,79,15,0
450,33,11,28,29,1
451,68,4,43,57,1
452,67,11,23,42,1
453,44,23,24,18,0
454,19,16,39,36,0
455,49,29,66,59,0
456,47,22,25,33,0
457,25,15,99,39,0
458,51,23,56,39,0
459,62,35,41,45,0
460,23,15,61,23,0
461,56,6,84,53,0
462,25,15,45,60,1
463,57,31,23,21,0
464,40,8,24,52,1
465,18,35,89,52,0
466,69,22,29,49,0
467,26,22,71,32,0
468,49,12,51,36,1
469,27,34,82,53,0
470,67,2,24,22,1
471,57,11,92,53,0
472,60,16,76,57,0
473,40,18,56,46,1
474,42,18,36,30,0
475,51,6,99,40,0
476,59,9,44,17,0
477,62,4,59,57,1
478,18,21,51,30,0
479,53,13,38,17,0
480,23,21,53,51,1
481,33,22,32,45,0
482,61,26,20,43,0
483,31,20,43,17,0
484,60,24,29,49,1
485,42,22,53,44,0
486,30,24,89,51,0
487,35,23,33,53,1
488,46,12,20,24,1
489,58,9,28,24,0
490,50,29,61,57,1
491,67,13,42,39,1
492,63,20,59,35,0
493,57,8,22,28,1
494,49,16,46,44,0
495,33,20,53,49,0
496,39,23,54,15,0
497,24,19,64,40,0
498,37,13,83,60,1
499,67,35,57,27,0
500,40,19,88,27,0
